ID_Group,CN_Min,CN_Max,Alpha_Ia_Min,Alpha_Ia_Min
1,1,100,0,0.25
2,1,100,0,0.25
3,1,100,0,0.25
4,1,100,0,0.25
5,1,100,0,0.25
